Country,Search_Keywords,Search_Location,Job_Title,Job_Detail_Link,Company_Name,Short_Description,Location,Post_Time,Rating
US,data,,Teach Data Analytics,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ch2gOTx_HXcWKogrGFQnuE3uCTxLQb9XTT_1BfDFHUkQMP5o27uoj95dR_pVYQ5j_f_9pK6iv4kVU2R8Vn-clwsw7qJx_CxCVomD8AP1fWT361gMomomcBFDAcv6ivt3n-3oNqnyLdEtMKfhz0_GJrEvJGfuMibn9oFWc_VEM6TZY6Ucx4GYg1rCEAJCiYmT77jclXgQ-Pa5Eh2aYsiK2vOW4GoAix0Cr7zmKg_NON6khqnQsQJ2CstOovMBdTYAXKww9yeP2l2S5_6V54aRfFTbRLvqwa8jaL0yckts-Xd-Mt7iyX0_b4DphsyDp9R1desk7C7byu9zpAAvWBRRisO5LNcMVGF9hVtWP8VPW4kppBrUKlhEYS86_L0iqMLmGBXCyoadIhyN5yzMD1j-3S6d3s59nFFXiSOn7Ue5DmzP_T2nXj4u__u0wEVBI3pV_S3mqjc6MdHUJd7bXvjSfW_STAKYolOOwHzuuKC41LaslDSYxiWYdV2DriFaOm0kRS9w1qk0g7lQ_uS59cLtHXC0tRXPkua4nq-tS8yIPHVQ==&xkcb=SoCt-_M3Suu7wVxgWB0LbzkdCdPP&p=0&fvj=1&vjs=3,NYC Department of Education," 
 Candidates with experience in high-demand fields are uniquely positioned to prepare high school students for careers of the future.
","New York, NY 11201 
(Downtown area)",Hiring ongoing,3.9
US,data,,Data Entry Specialist,https://www.indeed.com/rc/clk?jk=42fe24e61d91c012&fccid=380a971a7c919e3e&vjs=3,Fullsteam," 
 Summarizing and compiling data for standardized reports.
 Verifying data by correctly checking and comparing source documentation.
",Remote,"Posted
Posted 24 days ago",
US,data,,Data Entry Clerk,https://www.indeed.com/rc/clk?jk=86cbad1822e56f5d&fccid=dd616958bd9ddc12&vjs=3,University Village Memory Care & Assisted Living," 
 The data entry position will be responsible for transferring data from one source to another through data entry equipment, word processing, or verbal recordings…
",Remote,"Posted
Just posted",
US,data,,AWS Data Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CyQKdz8_lqdlgY-c-amsQST66Z8QjChsyYA8vzcGklWKb9QJtwLUycSQiaFk9QpX-1UodtKMaZpVKxomgwBoJW2wogdfLbcjYifR6XxXZ-jxVTT5CMPf-SNR32318xKG6ZnU9qlqfKViAVX5PBZ680VIJtl4_Z8KZO07kHOltaBYDPvddNSEFKgh_HvEtIHKTM5lCJTypSkccykLpGqMOVuB4AELWE-whs_07_PcbTZPqbPAzSMIYQWBGLaE-Wr3nuRtNq7hbt9Ycu0hhE1qfk_xZCQo49VL4iOM2dRd7CkTfjlCHJED6XAk-WwUTZqlKDM__lKTHiyXDVcC9Ub9gq-JskZlKqkjOHjWtEUCo9jMDEHvws16i_5FXDiKOUVKyDYbc0HmHsi85FoVCICJXjbVd5JtFd11nre3KbMr44LFGT9fnCXpldBumL18qDV9ABG4n4BJyBegS4NA3_QwP_k5uDkuOB9smRzNwPPTgzk1NHlnpGwuR-irL80Yzha98zVdpRixGPDQ==&xkcb=SoAj-_M3Suu7wURgWB0LbzkdCdPP&p=3&fvj=1&vjs=3,Sanametrix," 
 Work with structured and unstructured data, blob data.
 Perform data analysis required to troubleshoot data related issues and assist in the resolution of data…
",Remote,"Employer
Active 10 days ago",4.4
US,data,,Data Analyst,https://www.indeed.com/rc/clk?jk=90a1614fdc0871fb&fccid=6f31e2074a3d8a7b&vjs=3,Northwell Health," 
 Identifies issues in data quality that would impact reporting (i.e. duplicate records, missing data, etc.).
 Serves as a liaison between departments analytical…
","New York, NY 10060 
(Chelsea area)","Posted
Posted 17 days ago",3.9
US,data,,Vehicle Data Specialist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BeICXyow7MFjIEVDLITOqrlplaMRtIbFYKoOXi2a0r8j-e0JAQxMwslDRyzhnpPoKyyJnqY7yAPD-yWd4wuOrF_Dy5Tv-u1EZMHJs_TW2DzN2bh3RV-CCqcJhE2wE9g2d6aRdsC17TsFJ80It1bw_h4FVfwBuI68v7t27avNRCc6vJHGOsFs5z1WWeqVX3ElFDD-RWBCTxi9eVFweM-kO79WVetZnaByVH7gl6A6EBQIJInIJXdJq5nT-MH9SGzdUrxn2C0fHDpAoYamKNtltjZeQqFhDoir7EtIYBQY2xxj5gEM8XWRUu1DMQRfp3ki_IrtSQr7BU6pwtyIbr6h854guGZJTMSJUyZu2Gvo9OwhX9iiLzlU4qDQMLgxGgkMRK9hyEc_uru5qqTjs9tO1E4gbT1g5YHuPzcHjPjN6FU3MBRAUIj96i6wTOyxAtjPcT0ZIRnlNxvWibsBckM_kjPvlZ-1X3QHnIfBjgIBDzka_McAY0dYTcpkn0FymeOaU5U3XfPa4QkgRutVX4xotEfiLZ_jCc4XQSYxB7DAXlpjcoDXnjTJ5odI8G9Lkd9sBEAPJ9C4M06DFHh0sqxGYa_xW0kN1tNLGlPzzTF3EfyP9ijYn894S5bNHAvO1b3tBEOqor-uuC4ASEXkAQ12Ll-yvttqlqU9eBeoIDi6YxXKepf9t2-lFf3dDVzKufi5eaf2sE1aMxNbWLy9CYwMLjQDdrOHRCfsVYFP3osprssg7S9AK7S2CsoeCoDDklgnI=&xkcb=SoAK-_M3Suu7wURgWB0JbzkdCdPP&p=5&fvj=0&vjs=3,Snap-on Inc," 
 Capture vehicle images with a digital camera for data generation.
 Convert whole or in part of completed data sheets for other products to other electronic…
","Waukesha, WI 53188","Posted
Posted 30+ days ago",3.6
US,data,,Site Data Integrity Lead,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DrB8Bb6kkYIZpIWXqju4d1V6PoMia6gyfrG92FwlCABhxjibge0kpZ_NlROEjtmYtMD7U-p418fo_VjPBNVTRG0g_pCrVwIbdiDdPx2yzSPf8qzCm7DWmGWTOYX-1VFlZ37gBKzelp6N9Z7TO8PDBMk1s6BcbG14zn5pD3J37koBqkO7zfa30bFnzqPMKqSBDIISVxsI94D1QUgLRpkNXTUGU_LW1IcLzKb61YP86fWehLgWaojLSLpwnu1xTgw9ZQ-UA68zTIgZPEY0CLcSgZVx7Nb3If1Y-D2372Hit9PHzFquXdWmt0lX75psGOffCGIJsCuZSDmV7k0U8Z46JshQl0wJgUN0n_d4iQV3ynxWfN5VuQhL8-8V1Uy7M-_y_f4XN8SPKQNokZID6wHTa3cMmOynYC-Aj6lVMnU_0yDf5fnb_gKkbEIxlkCqCqccfiEpKKERDAj2Q5IEHH0eJkyPuayb12f2godrjyNTqQyuC9rizyU_tT29MJqRDq3YDcFMANvHpNyqWGnzAAbxUdCguccuwIhX4wZ7hk-R-QuXYDz0OixrwE97ZCzGP49we7lBAr8xvybJz7USqUSKuBXI2vUN0bNBRDEq7Ay27Au6uRZFb0PqZs3AAzeqz-NTXUlvNS2Jj00cAFL9WCE34q&xkcb=SoC--_M3Suu7wURgWB0IbzkdCdPP&p=6&fvj=0&vjs=3,Lonza," 
 Review the effectiveness of the data governance systems to ensure data integrity and traceability Identify improvement activities.
","Hayward, CA 94545 
(Glen Eden area)","Posted
Posted 30+ days ago",3.4
US,data,,Big Data - Application Architect,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhYylDqghje0ff2KplHg9yv97rDOpeEevfMVEZYorIBHmQLBpbtPRYmsKzdEgFybizL22Tm6APWuQMlDciVF2fFH7Rvn2tIV_A2ym5DIAplTr-2HdyjCZctcvlmUiqBW88J44aQX9wcjE98PxAvxmkrb5-XruwU26UkF44QDx8c_TBjUqQNivUS-3Rb0G0F9E0JQs7o-jYvR625l3KtfJ7DPCFjGbM3wY5IIgyhg8xRIDVureIgvO71PXA43-ZPHwwkOFiXKuTpskg4CGSo-Mcy7CwL-67eG0YoaRyO1yaNEktIUpV5ZuJfYuFDLCzYud-0JIRN3WXPGiQZkQX-ko4HAUFd2PQ8itjnR1xJyjuqRiZpcL1iMtyLI80qK0ZMPPC0u52Li3iLeLxf4rjMJ5ZGr4e-lqQ1J_rwjty-jegK9JXPtplzqtCbC5JHApMHjcQtxsDMbPf7TtSm9o3j0l3YfmYVXYXH75bYDKrjh3tsLtlsVEvFOA9fYLoVaKniz8otEgTdaZQWdv8J6Ez2wdRoi7Spys0p-Yb0evxKilWGHkyPMvZ6bAvGozakIbLGAt2kZoOSUIhe7bTutuZyzTE-6J0qfjTPZYu2OamKrag6Q==&xkcb=SoAw-_M3Suu7wURgWB0PbzkdCdPP&p=7&fvj=0&vjs=3,Fiserv," 
 Experience in enabling data access working with multiple internal and external data sources.
 Access to multi petabyte historical data opens innovative…
","Berkeley Heights, NJ 07922","Posted
Posted 30+ days ago",3.4
US,data,,Senior Business Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dl7F8yQ3Mt_M0p4pEaeq_LOWEMcxAwOSX3iRAQq_Rxvtz0tuwK71i2T-4qWmZ61DOxZK3Tr92SRAccYiLf5nv-Y5Ko1i9TYn-4Gfu8fjTtMCYhdjs4Hw7m1st7FEGRdM-eXqg2Oa5M2pkkY2bba3fS5ucgCBR1ApXHqCPk6vQEmT1Q2_9GIJf2xEhTqLzonQyfacDfk7sdUfplDD12QnCbu9Al7svdLarxvJKcRXCr5vwpFhWIxwMSz7azyZ_zsoQ4citYMFIxbocrl58wFRybWrG3ZeU3YudoCkGRx3CHr3f98a5kFs29y6j8av7_wL33tfbxgUxsYLGsV3DUmyqyhArDgJGmWvSNbQ1nr_1VUDDp0-PfyoVJregs6hMR5QeB7iTMs3QfW1gHpbvJLqpUVu7yIbtNLl8DCEvQuGQLniYDS7Kaoutbx1Xn8Jbrn4UtkhFgXTbY8zjAtn4miFLQ5YOvmrZL1bSu7ZGMzrEg3fZ_H_O9QCQ1xXmdb9ENWd59lXRyV7T29TPHGhu3CfFd&xkcb=SoCE-_M3Suu7wURgWB0ObzkdCdPP&p=8&fvj=1&vjs=3,Resource Data," 
 It isn’t enough to know the lingo, master a specific tool, or follow industry standards.
 You’ve attended a business analyst roundtable and understand the…
","Boise, ID 83709 
(Southwest Ada County Alliance area)","Posted
Posted 30+ days ago",4.6
US,data,,Data Entry Clerk,https://www.indeed.com/rc/clk?jk=7fd7f7548f838c22&fccid=f28dda157bbab0c1&vjs=3,"Acuren Inspection, Inc."," 
 Accountable for project deliverables on time where it applies to data processing and data management.
 Accurate data entry of inspection field reports.
","Remote in Angleton, TX 77515","Posted
Posted 5 days ago",3.2
