Keyword,Location,Job_title,Job_link,Company,Company_link,Job_location,Post_time,Applicants_count,Job_description,Seniority_level,Employment_type,Job_function,Industries
Data,United States,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-reup-education-3531120777?refId=QE2bRg3mNWcknNXCX4WaQw%3D%3D&trackingId=33uC0Gg5sgZnbN4%2BdxDuxA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                ReUp Education
              ",https://www.linkedin.com/company/reup-education?trk=public_jobs_topcard-org-name,"
              Austin, TX
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      2 hours ago
  
      ","
          69 applicants
        ","The Role




We are looking for an experienced analyst to dive deep into our data, work collaboratively across teams, and share insights. You will play a central role in bringing data to the forefront of all decisions and be an important data advisor at the launch of new initiatives. If you are a curious analyst with strong SQL, Python and business acumen, then we want to hear from you! This is an exciting role with varying responsibilities from analytics and reporting to light data engineering, data product, performance analysis, insight generation, and strategic recommendations. This is a full-time position.




What we do




Founded in 2015, ReUp Education is the only organization that focuses exclusively on helping colleges and universities engage and re-enroll the more than 40% of US students who have “stopped out” and support them until graduation, through our technology-enabled service. To date, we have re-enrolled nearly 22,500 students, assisted over 5,000 to graduate, and recaptured over $85 million in tuition for our university partners.




What you’ll do




Visualize key information through dashboards and reporting to allow teams to understand and use data to power daily decision-making.
Create reports to share performance, insights, and updates with client colleges, universities, and partners.
In partnership with both external partners and internal functions, develop research questions, conduct analyses, synthesize findings, and communicate recommendations that will help ReUp reach its goals.
Support all internal teams to become more data-driven in their work through developing tools, training, automating processes, and day-to-day support.
Support and lead validation efforts to ensure we have an accurate, scalable, stable data system.
Identify and lead opportunities to improve our data system and the ways we use data as a company.
Analyze client data in SQL, statistical languages, and BI tools like Tableau and Mode Analytics.




Qualifications




Research shows that women and people from underrepresented groups often only apply to jobs if they meet all of the qualifications. However, no one ever meets 100% of the qualifications. ReUp encourages you to break that statistic and to apply. We look forward to your application.
Bachelor’s degree in Mathematics, Statistics, Economics, Business, Public Policy, Research, or quantitative focused study [or comparable experience in the field]
3-5 years of related work experience in data and analytics
Experience using data and analysis to communicate ideas and make recommendations
Ability to engage cross-functional audiences in conversations about analysis and data
Experience with at least one analytics / visualization tool such as Tableau and Mode Analytics
Highly analytical and quantitative with strong self discipline
Experience with statistical analysis techniques such as correlation and regression
Strong fluency in any of the following: SQL, Python, R, Stata
*SQL & Python preferred
Familiarity with post-secondary education data a plus
Familiarity with user analytics and/or marketing analytics a plus
Familiarity with machine learning, predictive modeling, and natural language processing a plus




What does success look like?




You are able to communicate complex ideas effectively
You proactively look for trends in data and provide actionable insights
Your attention to detail leaves no stone unturned
You can look across multiple data initiative and see themes that will help us support re-entry students and their educational outcomes
You have a passion to support data driven decisions while recognizing the humans behind the numbers




Compensation & Benefits




Compensation: $90,000-$100,000 commensurate with experience
Medical, dental, and vision insurance for employees; we pay 100% of the employee's premium and 50% of any dependents' premiums
Flexible time off and remote work opportunity
401(k) plan
A diverse team that fosters a high level of collaboration despite being highly distributed
We provide your choice of a Mac or PC laptop




Location




ReUp is a remote organization with a geographically distributed team. This position will be based remotely in one of the states listed: AL, AZ, CA, CO, FL, GA, IL, LA, MA, MI, MN, MO, MT, NC, NH, NY, OH, OR, PA, SC, TN, TX, VA, and WI.




Company Culture




TEAMWORK * RESULTS * CONSTANT LEARNING * AGENCY * DIVERSITY, INCLUSION & EQUITY * JOY




ReUp employees share a passion for improving outcomes for stopout students. We connect with students to get Results as they embark on completing what they started. We believe in the power of human potential and that supporting an individual’s Agency acts as a catalyst for positive change and resiliency. We support Diversity, Inclusion & Equity, for both the students we work with and in our hiring practices. We value Teamwork and strive to create a safe and supportive environment where trust, communication, creativity, and humility are valued as highly as technical skills. We tackle hard problems with curiosity and take action towards continuous improvement and Constant Learning. Approaching our work with open hearts, open minds, and seeking collective success creates Joy. If that sounds like your dream work environment, we look forward to hearing from you.




ReUp Education is an equal opportunity employer. Our company values diversity and believes diverse teams make innovation possible. We encourage all qualified applicants from any race, color, religion, sex, gender identity, sexual orientation, national origin, disability status, protected veteran status, or other characteristics to apply.




Powered by JazzHR




2IZwIXBwfD","
            Mid-Senior level
          ","
          Full-time
        ","
            Information Technology
          ","
          Internet Publishing
          "
Data,United States,Python/SQL Data Analyst,https://www.linkedin.com/jobs/view/python-sql-data-analyst-at-bardess-group-ltd-3530908495?refId=QE2bRg3mNWcknNXCX4WaQw%3D%3D&trackingId=g0%2ByBPjxwIwoRO12%2FoAfng%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Bardess Group Ltd
              ",https://www.linkedin.com/company/bardess-group?trk=public_jobs_topcard-org-name,"
              New York, NY
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      8 hours ago
  
      ","
          169 applicants
        ","Bardess is looking for a data analyst skilled in Python and SQL, who is interested in working alongside both data scientists and BI specialists to build out analytics solutions for customers.




You will be working alongside highly experienced technical consultants, project managers and sales staff. Bardess consultants are self-motivated, results-oriented people, and diplomatic problem solvers.




Responsibilities




Perform data analytics using Python and SQL to meet client business requirements
Work closely with Bardess data scientists to perform exploratory data analysis (EDA) and data transformations in Python and SQL
Develop and schedule processes to extract, transform, and store data from various systems (SQL databases, S3 buckets, APIs, BI tools, etc.)
Support BI specialists by implementing backend data solutions
Communicate with client to help determine needs, plan out delivery, and present results




Experience




Qualifications and Skills




2 years relevant experience as a data analyst




Education




Bachelors degree




Required Skills




Strong experience with SQL
Significant experience with Python for data manipulation (pandas), data visualization (matplotlib) and data connections (connecting to APIs, SQL connectors etc.)
Excellent communication skills
Ability to work both independently to identify customer requirements, and collaboratively to address those requirements




Helpful-to-have Skills




Experience with BI tools, especially Qlik
Experience with big data platforms, data warehouse, and cloud technologies such as Snowflake, Redshift, and Cloudera
Exposure to data science and machine learning (desire to learn more is a major plus)
Experience working in consulting or major industry
Experience communicating with clients/stakeholders, and managing projects
Experience with shell/command-line tools




Location and Travel




Remote (if desired, and when in non-pandemic conditions, there may be occasional client travel, primarily in NY/NJ/PA area)




Employment Type




Contractor or Full-time Bardess employee




Apply




Please email your resume, cover letter, and the opportunity of interest to: recruiting@bardess.com




Contract or full time","
            Entry level
          ","
          Full-time
        ","
            Information Technology
          ","
          Information Services
          "
Data,United States,Data Analyst - Data Visualization and Data Story,https://www.linkedin.com/jobs/view/data-analyst-data-visualization-and-data-story-at-opalsoft-3523792851?refId=QE2bRg3mNWcknNXCX4WaQw%3D%3D&trackingId=MCN%2F9bqLQ34SLg%2FKlso%2B2Q%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                OpalSoft
              ",https://www.linkedin.com/company/opalsoft?trk=public_jobs_topcard-org-name,"
              Mountain View, CA
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      2 hours ago
  
      ","
          58 applicants
        ","The Data Visualization Analyst is responsible for creating and maintaining data visualizations, such as visual dashboards, which can help bring data to life. Experience over 5 years in visualization tools like Tableau, VS Code, and programming languages SQL and Python is required.




Responsibilities

Create visualizations from which leaders can easily draw insights and recommendations.
Collaborate with Partners or stakeholders to create dashboards that display meaningful and actionable key performance indicators (KPI’s).
Translate data and trends into stories to drive decisions for various pillars within the Legal or L&D organization.
Provide direction and coaching to end users on how to use and interpret metrics.
Document reporting requirements with Partners, by collaborating with relevant Data Analytics team members and Partners on iterations and changes to core dashboards and solutions.
Pull, organize, and analyze relevant data from multiple sources, using tools such as Tableau, VS Code, Jupyter Notebook, etc. and programming languages such as SQL, Python, etc.
Maintain code-base (SQL and Python) used to drive self-service tools and recommend opportunities for improvement.




Qualifications

6+ years of experience creating custom reports/dashboards and building visualizations and data stories in Tableau, PowerBI, etc.
7+ years of experience with SQL and Python/Programing languages.
BA/BS in a field that emphasizes data analysis and visualization (e.g., computer science, social sciences, physical sciences, math, engineering, or statistics), or equivalent work experience.
Experience manipulating large data sets through statistical software or other methods.","
          Contract
        ",,,
Data,United States,Jr. Data Analyst,https://www.linkedin.com/jobs/view/jr-data-analyst-at-brooksource-3523762747?refId=QE2bRg3mNWcknNXCX4WaQw%3D%3D&trackingId=xvWG681O2qh1nDfe8aMWQQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Brooksource
              ",https://www.linkedin.com/company/brooksource?trk=public_jobs_topcard-org-name,"
              United States
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      4 hours ago
  
      ","
          
          
            Over 200 applicants
          
        ","Jr Data Analyst

Ongoing Contract

St. Louis or Remote




Brooksource is hiring a Jr. Data Analyst to work with our Fortune 64 client in the telecommunications industry. As a Data Analyst, you will have the opportunity to grow within a large organization and gain exposure to telecom specific initiatives. This is located out of St. Louis, MO and it’s an ongoing contract opportunity working full-time hours, with no travel required. This is a great chance for you to work alongside a highly skilled Digital Platforms Organization that is focused on supporting enterprise clients.

MINIMUM QUALIFICATIONS

Ability to analyze, interpret and present data
Ability to make decisions and solve problems while working under pressure
Ability to prioritize and organize effectively
Basic understanding of advanced analytics processes and reporting design principles
Experience building and creating complex SQL queries
Korn Scripting language is a nice to have
Unix scripting language is a nice to have
Passion for data analytics




RESPONSIBILITIES:

Actively and consistently supports all efforts to simplify and enhance the customer experience.
Assist to define clear business requirements for data analysis projects.
Interpret data, formulate hypotheses and develop an analytical approach to meet business requirements
Partner to obtain and ingest new reference data sources required to deliver on business need.
Assist with communicating results and make recommendations using data visualization and presentations
Assist with creating analyses and dashboards that are usable, elegant and industry leading.
Develop effective partnerships with cross functional groups.




BENEFITS OF WORKING WITH BROOKSOURCE:

Previous experience working with this client and placing both permanent employees and contractors.
Direct communication with the hiring manager, which allows us to have a clear understanding of the timeline and move candidates through the interview process faster.
Dedication to keep an open line of communication and provide full transparency.","
            Entry level
          ","
          Contract
        ","
            Information Technology
          ","
          IT Services and IT Consulting
          "
Data,United States,Jr. Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-compunnel-inc-3524204087?refId=QE2bRg3mNWcknNXCX4WaQw%3D%3D&trackingId=B4jBg85gag3LAxTZIwgjkQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Brooksource
              ",https://www.linkedin.com/company/brooksource?trk=public_jobs_topcard-org-name,"
              United States
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      4 hours ago
  
      ","
          
          
            Over 200 applicants
          
        ","
        Jr Data AnalystOngoing ContractSt. Louis or RemoteBrooksource is hiring a Jr. Data Analyst to work with our Fortune 64 client in the telecommunications industry. As a Data Analyst, you will have the opportunity to grow within a large organization and gain exposure to telecom specific initiatives. This is located out of St. Louis, MO and it’s an ongoing contract opportunity working full-time hours, with no travel required. This is a great chance for you to work alongside a highly skilled Digital Platforms Organization that is focused on supporting enterprise clients. MINIMUM QUALIFICATIONS Ability to analyze, interpret and present dataAbility to make decisions and solve problems while working under pressureAbility to prioritize and organize effectivelyBasic understanding of advanced analytics processes and reporting design principlesExperience building and creating complex SQL queriesKorn Scripting language is a nice to haveUnix scripting language is a nice to havePassion for data analyticsRESPONSIBILITIES: Actively and consistently supports all efforts to simplify and enhance the customer experience.Assist to define clear business requirements for data analysis projects.Interpret data, formulate hypotheses and develop an analytical approach to meet business requirementsPartner to obtain and ingest new reference data sources required to deliver on business need.Assist with communicating results and make recommendations using data visualization and presentationsAssist with creating analyses and dashboards that are usable, elegant and industry leading.Develop effective partnerships with cross functional groups.BENEFITS OF WORKING WITH BROOKSOURCE: Previous experience working with this client and placing both permanent employees and contractors. Direct communication with the hiring manager, which allows us to have a clear understanding of the timeline and move candidates through the interview process faster. Dedication to keep an open line of communication and provide full transparency.
      ","
            Entry level
          ","
          Contract
        ","
            Information Technology
          ","
          IT Services and IT Consulting
          "
Data,United States,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-vertex-group-inc-3524211023?refId=QE2bRg3mNWcknNXCX4WaQw%3D%3D&trackingId=Nb2HG%2FwVCw9yxAzx0lniBg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Vertex Group Inc.
              ",https://www.linkedin.com/company/vertex-group-inc?trk=public_jobs_topcard-org-name,"
              New York, United States
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      28 minutes ago
  
      ","
          52 applicants
        ","Data Analyst w/ Expertise in P&C Insurance for a 3-6 month contract.

Remote is fine. Immediate start. EST hours.




Candidate must have Insurance exp (preferably commercial lines P&C but personal lines may be fine too) specifically focused on Data transfers and Data Integrations.

Mainly need Insurance and SQL experience, with problem solving skills using data techniques

They are looking to transfer a portfolio to another company




Vertex Solutions Inc. is an Equal Opportunity Employer and does not discriminate on the basis of race, color, creed, national origin, ancestry, religion, age, citizenship, sex, marital or veteran status, disability or handicap, sexual orientation or any other basis prohibited by applicable","
            Mid-Senior level
          ","
          Contract
        ","
            Information Technology
          ","
          IT Services and IT Consulting, Software Development, and Insurance
          "
Data,United States,Data Entry - Typist - Remote | WFH,https://www.linkedin.com/jobs/view/data-entry-typist-remote-wfh-at-get-it-recruit-administrative-3523726611?refId=QE2bRg3mNWcknNXCX4WaQw%3D%3D&trackingId=gTIhICX7sFeu2qRmHD%2Fdpw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Get.It Recruit - Administrative
              ",https://www.linkedin.com/company/get-it-recruit-administrative?trk=public_jobs_topcard-org-name,"
              Orlovista, FL
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      6 hours ago
  
      ","
          38 applicants
        ","
        Get It Recruit - Administrative helps job seekers connect with employers and opportunities that match their qualifications. Once connected job seekers can complete the full application process directly on the employer's website.We're looking for a meticulous and detail-oriented data entry typist to join our team! As a key member of our company, you'll be responsible for drafting and typing important documents that help keep our operations running smoothly.In this role, you'll have the opportunity to work independently and collaboratively with other team members to source and organize relevant data, type and format documents to meet our high standards, and proofread your work to ensure it's free of errors before submitting it.The ideal candidate for this role will excel at both individual and group work, and will always be looking for ways to improve the accuracy and efficiency of our output. You'll need to be a fast learner with excellent organizational and multitasking abilities, and be comfortable working under tight deadlines.Requirements for this role include a high school diploma or equivalent, prior experience as a data entry typist is preferred, and advanced proficiency in mainstream word processors. You'll also need to have completed a skills alignment exercise to ensure you're the right fit for this role.We offer a competitive salary range of $17.05 - $23.96 hourly, as well as opportunities for growth and development within our company. If you're passionate about data entry and looking for a challenging and rewarding role, we'd love to hear from you!Please note that Get It Recruit - Administrative is sharing this job opening on behalf of the employer. Any questions related to the job description or application process should be directed to the employer. To learn more about the position and begin the application process, please use our 'apply' button.
      ","
            Entry level
          ","
          Full-time
        ","
            Administrative
          ","
          Human Resources Services
          "
Data,United States,Junior Data Analyst,https://www.linkedin.com/jobs/view/junior-data-analyst-at-coders-data-3504408458?refId=QE2bRg3mNWcknNXCX4WaQw%3D%3D&trackingId=P6TCeImLO8AkPj%2FsimxNmA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Coders Data
              ",https://www.linkedin.com/company/codersdata?trk=public_jobs_topcard-org-name,"
              North Carolina, United States
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      29 minutes ago
  
      ","
          35 applicants
        ","Job Description

Location: Malvern, PA

Description: Our client is currently seeking a Jr Data Analyst 




This job will have the following responsibilities:

Coordinates and executes complex data related requests for internal partners and/or external vendors.
Produces data reports as required.
Executes and analyzes data reporting and quality control queries. Escalates issues as needed to ensure resolution.
Builds and maintains knowledge of data sets and data storage systems. Establishes and maintains working relationships with internal and external partners in order to assist them with data systems, related applications, and processes. Shares knowledge and experience within Vanguard's data management community.
Runs root cause analyses of data errors proactively. Identifies opportunities to eliminate future occurrences and recommends short and long-term solutions for issues. Provides advanced troubleshooting and problem resolution.
Participates in special projects and performs other duties as assigned.

Qualifications & Requirements:

SQL, Python, Tableau, PowerBI, a must.
Worked with AWS S3, AWS EMR, AWS AWS Athena & AWS Relational Data Services (RDS)

","
          Full-time
        ",,,
Data,United States,Junior Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-shift5-3526769739?refId=QE2bRg3mNWcknNXCX4WaQw%3D%3D&trackingId=U5gBxsVvbQsOye3nd6n1yQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Coders Data
              ",https://www.linkedin.com/company/codersdata?trk=public_jobs_topcard-org-name,"
              North Carolina, United States
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      29 minutes ago
  
      ","
          35 applicants
        ","
        Job DescriptionLocation: Malvern, PADescription: Our client is currently seeking a Jr Data Analyst This job will have the following responsibilities:Coordinates and executes complex data related requests for internal partners and/or external vendors.Produces data reports as required.Executes and analyzes data reporting and quality control queries. Escalates issues as needed to ensure resolution.Builds and maintains knowledge of data sets and data storage systems. Establishes and maintains working relationships with internal and external partners in order to assist them with data systems, related applications, and processes. Shares knowledge and experience within Vanguard's data management community.Runs root cause analyses of data errors proactively. Identifies opportunities to eliminate future occurrences and recommends short and long-term solutions for issues. Provides advanced troubleshooting and problem resolution.Participates in special projects and performs other duties as assigned.Qualifications & Requirements:SQL, Python, Tableau, PowerBI, a must.Worked with AWS S3, AWS EMR, AWS AWS Athena & AWS Relational Data Services (RDS)
      ","
          Full-time
        ",,,
Data,United States,Data Analyst- Internship,https://www.linkedin.com/jobs/view/data-analyst-internship-at-prospect-equities%C2%AE-3530960282?refId=QE2bRg3mNWcknNXCX4WaQw%3D%3D&trackingId=yZbuRkV3jX2AD7qtWx5Evg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
                Prospect Equities®
              ",https://www.linkedin.com/company/prospect-equities-?trk=public_jobs_topcard-org-name,"
              Chicago, IL
            ","
        

    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    

    
    
    
    
    
    
    
    
    
    
    
    
    
    

      4 hours ago
  
      ","
          79 applicants
        ","Prospect Equities® Internship Proposal – Data Analyst Prospect Equities® is a Real Estate Company based in Chicago with locations in other states across the Country. Prospect Equities® prides itself on its unique approach to real estate. In today's markets, a real estate company needs to separate itself from the competition more than ever. We have a unique and critical management team to facilitate international real estate investors and clients from across the globe. Our goal in international real estate investing in the United States is to be known by countries abroad as the ""go-to"" brokerage when investing in the U.S. Real Estate Economy.




Job Description




As Prospect Equities® becomes stronger, we are in our mission to grow larger in the United States and abroad. Thus, we are looking for a strong data analyst to join us to achieve our goal. The candidate should qualify for the following requirements to be considered for our next hiring steps: 1. Monitoring Multiple-Listing-Services on a weekly basis. 2. Record and compare the sale and rental data in the same area on a regular basis. 3. Conduct a stable streamline for the company to monitor and produce marketing data. 4. Prioritize Property Management Software improvement projects to meet the ever-changing needs of the Company. 5. Collaborates on a regular basis with internal resource teams including but not limited to: Software Training, Operations, Conversions, and on-site and corporate team members. 6. Effectively engage and communicate with internal and external relationships. 7. Actively contributes to team effectiveness by identifying issues and providing feedback and recommendations for system improvements, solutions, and courses of action.




Basic Qualifications




Background in IT, Computer Science, Applied Science, Statistics, Economics, or related field
Proficiency with the Microsoft Office Suite of products, including a strong understanding of Microsoft Excel (pivot tables, charts, and formula knowledge required)
Familiarly with SaaS or other technology industry related experience; pulling queries
Proficient user of PowerPoint, including the ability to make a variety of charts
Strong analytical and statistical ability
Strong organizational skills
Ability to prioritize multiple tasks and meet deadlines
Independent self-starter with the ability to work under minimal supervision
Ability to communicate clearly and professionally with others
Experience working in and managing an enterprise database environment




Preferred Qualifications




Practical understanding of the real estate market – or real estate-related tools.
Knowledge working with real estate data and GIS systems Salesforce (1-2 years preferred)




Salesforce (1-2 years preferred)




SQL (2-3 years preferred)
AWS (Redshift, Lambda, ElasticBeanstalk) (1-3 years preferred)
Python (1-2 years preferred)
RESTful APIs (1-2 years preferred)
BI Technology such as PowerBI, Metabase, Looker, etc. (1-2 years preferred) JOB TYPE:
Internship/Part-time




Education Requirement




Bachelor's Degree
Master’s Degree or Ph.D. (Preferred)




Work Schedule




Flexible, 2 to 3 days per week at our Chicago Headquarter: 500 N. Michigan Ave, 18th Floor, Chicago, IL, 60611




Benefits




Offer for Paid Employment on a Part time or Full-time basis after satisfactory review
Full time employment would offer full benefits package; medical, PTO, 401k match.




Founded in 2000, Prospect Equities (PE) is a full-service real estate brokerage headquartered in Chicago with multiple office locations throughout Chicago, New York, and Florida.




Our training and technologies are second to none and are complemented by an aggressive compensation program for real estate agents. We focus on all facets of real estate brokerage; from residential to commercial, both sales and leasing.




PE agents are afforded the latest in agent tools, sales techniques, and client marketing programs via our proprietary Customer Strategy System which generates high-quality leads, furthers client relationships, and maintains transaction consistency.","
            Internship
          ","
          Internship
        ","
            Information Technology
          ","
          Real Estate
          "
