Search_Keywords,Search_Location,Job_Title,Job_Detail_Link,Company_Name,Short_Description,Location,Post_Time,Rating,Current_Time
data,,"KIPP NYC Senior Associate, Student Enrollment - Data & Reporting",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ch2gOTx_HXcWKogrGFQnuE3uCTxLQb9XTT_1BfDFHUkbYtjEDnqFwsM6lAqWYvUpzZlS-6HsF78sqD3XvLOsZMjfynAmr3EtIt27Xot66q91RQhQGu5FqOlVCbI9pZPA5WzWx7dBFou8xHWuZUAMvHpkL3ODcOsfsDrUQNIPZHj9muicGvEJewwiJBxmPs_b4wuPqag8RssvmjBtkWRexnxgVE2Cst2gEG_3xwCpVHrzajWR-WSU68d8Xs1uMbqraU_6OcNJjP7u5G1K8gynceH4ZZstc_1fVeOfuGjLYa-akUf2bwyBTtKHlKr4IrEMOA-7oAC_dr0cwRzxjZv3oDZe1lQeXjTg9byco4XoXTEoGvMdI7w4rkjueQCEdj3buvf6iStk8MRbS91yuAhwawhYJSkFlnqPMyaByCj3Kq-w8ZV5JCUsuhUgbfBN4QiTwImafz8HgtExWLwaNu6oAxMewWq70KsLVZNVyQ4fNYgahCGvcTJ6CVXOySXcV_4_VaxdsRIel79-4BXPKH45l42M4W-uUsMwWqtrFeHjslatGNO6RSZlV2YU7pn14oIdQggmihXxBFrc7idOT5cwLVlImYPJslNrg=&xkcb=SoCW-_M3SusmaZW9XJ0KbzkdCdPP&p=0&fvj=0&vjs=3,KIPP NYC Public Schools," 
 Support any student enrollment data compliance requests received from other teams within our regional team.
 Knowledge of database systems and data management,…
","New York, NY","Posted
Posted 5 days ago",3.2,2023-03-13
data,,Database Marketing Coordinator,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDSGKlS9L0yN7f8Q849yTgFrsIghc0QH3b7J6LFWg7y6GLu5l0zoFDKQqdLTODhu131W2XkVFlCCHTSBIRtEGi2HW2HlRL-vNHeH9fWjyn9K9B3UWfwG4RS3wvkXNKKg3MZBlJDDG17kZ6FiyCWHoXwljYcUKxeNk_hx8Y2_znYUTc-nmqep5bbli5Ohvwh9Odhx73IQKXQHIGi2Km4-WSmLyIpmLazFBRb2Je_YNlATrYqvYEdFlu6gyS9JZfa6GEZX3W4j9nsLCc7jtxn-G8q2rW3kRMvB306aEXqFFnuTUYWOYA0jbOfWjPHIFNlx2npYECLbtSwrvV0mfxS6vr1fZKP5pPdY1PSjYBSLg4Wec7o2kcvSP3DxR6wBLNwtuU4Ufe4D4fw4eO-7MzPsTK_hrDHtqRLxOtM1f5B5SxK88k-5yOaRiY7xc373PTNazt3LuhKyH50Rc_UsaS6GTyMNoQkDE15pcuXdBi2_Pb8OeQM_dTVHlDg9Zz1ZQx3dk5JSX6yxIzSrJ7qhSkJLJQKY0fOEXf5gcycujXYNMy9GlAvRpgjeC0um6pIW492g6Eba0rOfQ0VCnobdWAn5D9v5-GEXuHTgyRw==&xkcb=SoAL-_M3SusmaZW9XJ0JbzkdCdPP&p=1&fvj=0&vjs=3,Uline," 
 Audit and summarize data, trends and processes.
 Join us as a Database Marketing Coordinator, digging into data to inform our direct mail marketing campaigns…
","Pleasant Prairie, WI 53158","Posted
Posted 10 days ago",3.1,2023-03-13
data,,Variable Data Programmer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AstBakfWlU59VtPzRsU94AH3bCaAvwFssxRUweKND02lT6SufJpfQ_9uxqi3614c5xlmC8qeQtLujDAlw7hpt4Qk--BXniuksKZnabwlc8sgY6uHLuRuhN6m5g8RwM9p8-dLCGFmEOl72kUypX5iqc-quxjq-Pzu5Hj7Tg1RUfXzGkB57osxZwtCv9k20PIMCg-B_8knpG6fe7oMzLIjGLMSaE1P1r17ncAaxG2yuPpYa7PgKzZlQcEvh_HJNXMiYHWljDQXgumwxPEWug0STZGGdMy1Crl9bUK330WtQOJ5l3ruBFeKQwbQCeb-kziSys5h0NWBXH7qxWrCdZ6tWGszx2zuyO_xvHFWB_sZLmfUGTmNUaknUldpiqcyb99SMwBX4LoWfIdWvD85RiWqwZ-wz1ERuiI2Iihd1ExBsVZEYX-fg0vER6pfQOyEozA6IOOdbMy4Z_j139h1TCo7FzeFtedkvA7CcQVdcg7ODJZI-1Ng2VWJknJwhwEPn1Ku-14OeBLtuNW3vfuDzP87fKa6oIrKbtEfv_wE5G0p0KBoFFxgA4lg4sIIoO_GnCS_iy1wiwWau3xPqHcH0meQ2S&xkcb=SoC_-_M3SusmaZW9XJ0IbzkdCdPP&p=2&fvj=0&vjs=3,Millennium Print Group," 
 Take responsibility for all aspects of data management to include tracking and validating data.
 Experience in variable data programming.
","Morrisville, NC 27560","Posted
Posted 12 days ago",2.9,2023-03-13
data,,Data Analyst,https://www.indeed.com/rc/clk?jk=e7942242cccbb791&fccid=f768d1a989547912&vjs=3,"Atmosfy, Inc"," 
 Drive self-serve and data literacy: democratize data by building and socializing decision tools (dashboards, reports); build key data sets/pipelines to empower…
",Remote,"Posted
Posted 30+ days ago",,2023-03-13
data,,Data Entry Clerk,https://www.indeed.com/rc/clk?jk=86cbad1822e56f5d&fccid=dd616958bd9ddc12&vjs=3,University Village Memory Care & Assisted Living," 
 The data entry position will be responsible for transferring data from one source to another through data entry equipment, word processing, or verbal recordings…
",Remote,"Posted
Just posted",,2023-03-13
data,,Building Engineer - Data Center,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_WsvGyPOtjZ6uIIux9diGhd78fGOzkk2LUug-OO--Yun98Fj7UsyvPJNt69XdonaIIKMXwCeNN06CBz8h3yyJu4vz0DGes7oBncd0xKaaPxPQPezCW7C6ytLv69Mn_Ts5vM-hL_BTL11e9w3BmCE9HOAF9L1iYYv3vS3yyciqIRjLPx3f3ln1kdzxgl9TdFhr-Dn6QfYze9_Cdgu9jwo2xtKGVNjaea0hQbuSgm3YMUEVYKHscDvoCFKEa0H1-JaoIJ0rd-qidl9HazqyOcCW6phu_Eqppqe1L8tbcJnkslTHUEqvg11i6-fpOgNki9Y7ZkAFOu1uF_RztnQ4duvNMppzVN0cCZGM7T9-z5FnaT2yeuf42ziPC09nwF01VRUkZpm8xHtyXZb7NijTBhDvR6-HRQz2E1fKt25xBUkZrROsEAc8KqHEPrVjiEBEXtGMHa_o05d21UQwFjbR61zDpuwJGm7b2LFR-Ym1K_DKrEraRhrf87stCi5cP-MQJc16MtO_q5foXiWwhZSHIozUP1JNlCKmtow=&xkcb=SoBn-_M3SusmaZ29XJ0LbzkdCdPP&p=5&fvj=1&vjs=3,Paragon Services Engineering," 
 DATA CENTER Building Engineer (Day Shift)*.
 This positions is expected to effectively operate and maintain the day to day engineering requirements of a Mission…
","San Diego, CA 92121","Posted
Posted 4 days ago",4.1,2023-03-13
data,,Data Engineer,https://www.indeed.com/company/OTSI-USA/jobs/Data-Engineer-60111e9eee4f3edf?fccid=96604ff22eb7e1bb&vjs=3,CapitalTech Solutions," 
 Support business data stewards and Data Management Project team in maintaining accurate data asset meta-data and updating data documentation.
","Remote in Washington, DC","Posted
Posted 5 days ago",,2023-03-13
data,,Data Conversion Specialist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLgRWNJYokYWIUmUGdRzWOjbJsZT6ymLBQjRlm3GVD5vqfVpLr8WtzkNIAqLXs4wEqRPrn88QIMmEz2iZFZlc8fBARJIEmO3fAy1iv-vJRK5jktlFYcoHL90nDNt78EJ1uz2xDw1myU-mu6K-7UCqLsQKxOj18oapiy_0ZxLi_fMPoBNnHB58iMVCnMdvy5Mk6U6c0zavifVvQDRONWCEjUF9TsMuxvOItIhF64W7rSc90vdIu8Abe5HmHxDIsZnqsAI2Y__Yqm82VQc5sOnBDNUUlHPYQ-khRPrkPAQcvzyeCCknJxJAAXOpiTIraLlqwU_5s7qkObLKliBcyHWDW1KS6aBPvXV0o9UYjMqntWhogMYTo0TfYxCJCf_RetsNrwYjA5HkelZaYY1NzSJzvUQfXot1oXP4xHDg2EIo85SHN0Dmy_O9KdpnqMAlgiNN9U6ioVzF57kuHW22rCVQkPbFRvbgva2kTphK5hUkwUUd453JX1RxD9S3d6lcIbhbii9-hhG9f95YnkFJT3ECifs5LS-enqfJAPOI8zFcRiZR0aVGYuMBUFVYb1GfO_XIgTsUwJwQrEkwwTYs0dGNqx9wQHiVHW9Y5T3DRp6l_HUlEJ2gVo9bo&xkcb=SoBO-_M3SusmaZ29XJ0JbzkdCdPP&p=7&fvj=0&vjs=3,Painters Supply & Equipment Co," 
 Coordinates accurate data integration, and data entry, with new business acquisitions.
 Prior experience in data migration.
 Medical, Dental and Vision Insurance.
","Detroit, MI 48235 
(Crary/St Marys area)","Posted
Posted 30+ days ago",3.8,2023-03-13
data,,Entry Level Data Analyst,https://www.indeed.com/company/Swivel-Payment-Solutions-LLC/jobs/Entry-Level-Data-Analyst-9df04ffe0ec32f59?fccid=73358697b054bc26&vjs=3,"Swivel Payment Solutions, LLC"," 
 Monitor data quality and perform data cleansing as needed.
 Experience with data visualization tools such as Tableau or Power BI.
","New York, NY","Posted
Posted 7 days ago",,2023-03-13
data,,Data Analytics,https://www.indeed.com/company/Trinity-Technologies/jobs/Data-Analytic-4f7b96555fb35820?fccid=b11cecf1fc3f9291&vjs=3,Trinity Technologies," 
 Technical proficiency regarding database design development, data models, techniques for data mining, data profiling and segmentation.
",Remote,"Posted
Just posted",4.3,2023-03-13
